time                     , close, cash              , sol               , equity            , signal, reason                                              , peak              , drawdown
2026-04-04 16:00:00+00:00, 80.74, 145.96036281946243, 0.5995842212786165, 194.37079284549793, BUY   , "EMA fast > EMA slow, close > EMA fast, RSI healthy", 200.13015858976962, -0.02877810013670823
2026-04-04 17:00:00+00:00, 80.91, 145.96036281946243, 0.5995842212786165, 194.4727221631153 , HOLD  , Position still valid                                , 200.13015858976962, -0.028268785007316333
2026-04-04 18:00:00+00:00, 80.84, 145.96036281946243, 0.5995842212786165, 194.4307512676258 , HOLD  , Position still valid                                , 200.13015858976962, -0.028478503001771793
2026-04-04 19:00:00+00:00, 80.85, 145.96036281946243, 0.5995842212786165, 194.43674710983856, HOLD  , Position still valid                                , 200.13015858976962, -0.028448543288278283
2026-04-04 20:00:00+00:00, 80.78, 145.96036281946243, 0.5995842212786165, 194.39477621434906, HOLD  , Position still valid                                , 200.13015858976962, -0.028658261282733744
2026-04-04 21:00:00+00:00, 80.92, 145.96036281946243, 0.5995842212786165, 194.4787180053281 , HOLD  , Position still valid                                , 200.13015858976962, -0.02823882529382271
2026-04-04 22:00:00+00:00, 80.98, 145.96036281946243, 0.5995842212786165, 194.5146930586048 , HOLD  , Position still valid                                , 200.13015858976962, -0.028059067012860872
2026-04-04 23:00:00+00:00, 80.82, 145.96036281946243, 0.5995842212786165, 194.41875958320023, HOLD  , Position still valid                                , 200.13015858976962, -0.028538422428759036
2026-04-05 00:00:00+00:00, 80.68, 145.96036281946243, 0.5995842212786165, 194.3348177922212 , HOLD  , Position still valid                                , 200.13015858976962, -0.02895785841767018
2026-04-05 01:00:00+00:00, 80.49, 145.96036281946243, 0.5995842212786165, 194.22089679017827, HOLD  , Position still valid                                , 200.13015858976962, -0.029527092974049207
2026-04-05 02:00:00+00:00, 80.58, 145.96036281946243, 0.5995842212786165, 194.27485937009334, HOLD  , Position still valid                                , 200.13015858976962, -0.029257455552606504
2026-04-05 03:00:00+00:00, 80.52, 145.96036281946243, 0.5995842212786165, 194.23888431681664, HOLD  , Position still valid                                , 200.13015858976962, -0.029437213833568343
2026-04-05 04:00:00+00:00, 80.31, 145.96036281946243, 0.5995842212786165, 194.1129716303481 , HOLD  , Position still valid                                , 200.13015858976962, -0.030066367816934836
2026-04-05 05:00:00+00:00, 80.26, 145.96036281946243, 0.5995842212786165, 194.0829924192842 , HOLD  , Position still valid                                , 200.13015858976962, -0.03021616638440283
2026-04-05 06:00:00+00:00, 79.56, 193.4249596728471 , 0.0               , 193.4249596728471 , SELL  , ATR stop loss hit                                   , 200.13015858976962, -0.033504190293812464
2026-04-05 07:00:00+00:00, 79.59, 193.4249596728471 , 0.0               , 193.4249596728471 , HOLD  , No entry setup                                      , 200.13015858976962, -0.033504190293812464
2026-04-05 08:00:00+00:00, 79.59, 193.4249596728471 , 0.0               , 193.4249596728471 , HOLD  , No entry setup                                      , 200.13015858976962, -0.033504190293812464
2026-04-05 09:00:00+00:00, 79.82, 193.4249596728471 , 0.0               , 193.4249596728471 , HOLD  , No entry setup                                      , 200.13015858976962, -0.033504190293812464
2026-04-05 10:00:00+00:00, 79.84, 193.4249596728471 , 0.0               , 193.4249596728471 , HOLD  , No entry setup                                      , 200.13015858976962, -0.033504190293812464
2026-04-05 11:00:00+00:00, 79.9 , 193.4249596728471 , 0.0               , 193.4249596728471 , HOLD  , No entry setup                                      , 200.13015858976962, -0.033504190293812464
2026-04-05 12:00:00+00:00, 79.01, 193.4249596728471 , 0.0               , 193.4249596728471 , HOLD  , No entry setup                                      , 200.13015858976962, -0.033504190293812464
